,Unnamed: 0,DATE,DocumentIdentifier,V2Tone,Themes,Organizations,ActualThemes
0,1,20230131234500,https://krro.com/2023/01/31/motor-racing-moneygram-boss-says-no-peak-in-sight-for-f1s-u-s-growth/,3.125,TAX_FNCACT;TAX_FNCACT_CHIEF;TAX_FNCACT_EXECUTIVE;TAX_FNCACT_CHIEF_EXECUTIVE;MEDIA_MSM;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_COLLEGE;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;TAX_FNCACT_DRIVER;TAX_FNCACT_CHAMPION;TAX_FNCACT_CHAMPIONS;EPU_ECONOMY_HISTORIC;,"netflix inc, oracle corp","EDUCATION,TAX_ETHNICITY"
1,21,20230131234500,https://wror.com/2023/01/31/james-gunn-unveils-upcoming-dceu-projects/,0.809464508094645,WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;TAX_FNCACT;TAX_FNCACT_KING;TAX_FNCACT_ACTOR;TAX_FNCACT_HUNTER;WB_2931_IRON;WB_507_ENERGY_AND_EXTRACTIVES;WB_895_MINING_SYSTEMS;WB_1699_METAL_ORE_MINING;TAX_FNCACT_MAN;TAX_WORLDREPTILES;TAX_WORLDREPTILES_TURTLE;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_COLONEL;TAX_FNCACT_COLONEL;TAX_MILITARY_TITLE_CAPTAIN;TAX_FNCACT_CAPTAIN;TAX_FNCACT_KNIGHT;GENERAL_HEALTH;MEDICAL;TAX_FNCACT_DOCTOR;KILL;CRISISLEX_T03_DEAD;TAX_FNCACT_SUPERMAN;SOC_SUICIDE;TAX_TERROR_GROUP;TAX_TERROR_GROUP_SUICIDE_SQUAD;TAX_WORLDFISH;TAX_WORLDFISH_SHARK;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_WOLVERINE;TAX_FNCACT_DIRECTOR;TAX_WORLDMAMMALS_WEASEL;TAX_FNCACT_FIRST_MATE;TAX_FNCACT_AGENT;TAX_ETHNICITY;TAX_ETHNICITY_BLACK;TAX_WORLDARACHNIDS;TAX_WORLDARACHNIDS_BLACK_WIDOW;TAX_WORLDINSECTS;TAX_WORLDINSECTS_MANTIS;TAX_FNCACT_DANCER;TAX_ETHNICITY_MALTESE;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_MALTESE;TAX_FNCACT_AGENTS;INFO_RUMOR;TAX_FNCACT_WOMAN;TAX_FNCACT_KNIGHTS;TAX_WORLDINSECTS_WASP;TAX_FNCACT_ASSISTANT;WB_2937_SILVER;TAX_FNCACT_ASSISTANTS;BULLYING;TAX_FNCACT_BOSS;TAX_FNCACT_COMMISSIONER;EPU_CATS_NATIONAL_SECURITY;CRISISLEX_CRISISLEXREC;CRISISLEX_T02_INJURED;CRISISLEX_T11_UPDATESSYMPATHY;CORRUPTION;REBELLION;WB_739_POLITICAL_VIOLENCE_AND_CIVIL_WAR;WB_738_SOCIAL_COHESION;WB_134_SOCIAL_DEVELOPMENT;MILITARY;TAX_MILITARY_TITLE_SOLDIER;TAX_FNCACT_SOLDIER;TAX_TERROR_GROUP_BLACK_PANTHER;TAX_FNCACT_WARRIOR;TAX_MILITARY_TITLE_COMMANDER;TAX_FNCACT_COMMANDER;TAX_FNCACT_CLOWN;TAX_FNCACT_WIZARD;TAX_ETHNICITY_RUSSIAN;TAX_WORLDLANGUAGES_RUSSIAN;MEDIA_MSM;TAX_ETHNICITY_GERMAN;TAX_WORLDLANGUAGES_GERMAN;TAX_RELIGION;TAX_RELIGION_CHRISTIAN;TAX_ETHNICITY_CHRISTIAN;TAX_FNCACT_BUTCHER;TAX_WORLDMAMMALS_HUMAN;TAX_FNCACT_CLERK;TAX_FNCACT_FATHER;LEADER;TAX_FNCACT_CONGRESSMAN;USPEC_POLITICS_GENERAL1;MANMADE_DISASTER_IMPLIED;TRIAL;TAX_FNCACT_LAWYER;RECRUITMENT;TAX_FNCACT_LEADER;TAX_FNCACT_KILLER;,essex property trust inc,"BULLYING,CORRUPTION,GENERAL_HEALTH,KILL,MANMADE_DISASTER_IMPLIED,MEDICAL,MILITARY,REBELLION,SOC_SUICIDE,TAX_ETHNICITY,TAX_TERROR_GROUP,TRIAL"
2,35,20230131234500,https://1061thetwister.iheart.com/content/2023-01-31-hannah-ellis-reveals-the-thing-that-shocks-people-the-most-about-her/,1.06007067137809,TAX_FNCACT;TAX_FNCACT_ARTIST;CRISISLEX_T11_UPDATESSYMPATHY;WB_1160_SHOCKS_AND_VULNERABILITY;WB_695_POVERTY;GEN_HOLIDAY;TAX_FNCACT_SINGER;,instagram,GEN_HOLIDAY
4,53,20230131234500,https://991thewhale.com/ixp/498/p/secret-cavern/,1.29390018484288,MEDIA_SOCIAL;SCIENCE;TAX_ECON_PRICE;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_SENECA;WB_135_TRANSPORT;TAX_FNCACT;TAX_FNCACT_VICTIM;,facebook inc,SCIENCE
5,54,20230131234500,https://www.prnewswire.com/news-releases/fxlv-investors-have-opportunity-to-lead-f45-training-holdings-inc-securities-fraud-lawsuit-301735203.html,-1.73913043478261,CORRUPTION;WB_2019_ANTI_CORRUPTION_LEGISLATION;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_831_GOVERNANCE;WB_832_ANTI_CORRUPTION;WB_2020_BRIBERY_FRAUD_AND_COLLUSION;EPU_CATS_REGULATION;TRIAL;ECON_STOCKMARKET;ECON_IPO;WB_1070_ECONOMIC_GROWTH_POLICY;WB_471_ECONOMIC_GROWTH;EPU_ECONOMY_HISTORIC;MEDIA_SOCIAL;UNGP_FORESTS_RIVERS_OCEANS;TAX_FNCACT;TAX_FNCACT_ATTORNEY;LEGISLATION;EPU_POLICY;EPU_POLICY_LAW;,"twitter inc, facebook inc","CORRUPTION,ECON_IPO,ECON_STOCKMARKET,LEGISLATION,TRIAL"
7,89,20230131234500,https://www.macobserver.com/tips/how-to/airplay-only-playing-audio/,-0.110132158590309,WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;MEDIA_MSM;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_MOJAVE;DISABILITY;UNGP_FORESTS_RIVERS_OCEANS;TAX_FNCACT;TAX_FNCACT_GUIDE;,netflix inc,DISABILITY
8,95,20230131234500,https://www.today.com/parents/moms/victoria-beckham-daughter-harper-new-photo-rcna68359,3.3003300330033,PROTEST;TAX_FNCACT;TAX_FNCACT_CHILDREN;,instagram,PROTEST
9,108,20230131234500,https://www.phoenixherald.com/news/273464435/shareholder-alert-pomerantz-law-firm-reminds-shareholders-with-losses-on-their-investment-in-argo-blockchain-plc-of-class-action-lawsuit-and-upcoming-deadline---arbk-arbkl,-2.68096514745308,EPU_CATS_REGULATION;TRIAL;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICERS;TAX_FNCACT;TAX_FNCACT_OFFICERS;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;ECON_IPO;APPOINTMENT;ECON_BITCOIN;MANMADE_DISASTER_IMPLIED;EPU_ECONOMY_HISTORIC;EPU_CATS_FINANCIAL_REGULATION;TAX_ECON_PRICE;USPEC_POLICY1;KILL;UNGP_FORESTS_RIVERS_OCEANS;ACT_MAKESTATEMENT;ECON_ELECTRICALPRICE;WB_507_ENERGY_AND_EXTRACTIVES;WB_895_MINING_SYSTEMS;TAX_FNCACT_INVESTOR;TAX_FNCACT_CHIEF;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;WB_698_TRADE;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_406_COMPETITION_POLICY;WB_2101_ANTITRUST;TAX_FNCACT_VICTIMS;CRISISLEX_CRISISLEXREC;CRISISLEX_T08_MISSINGFOUNDTRAPPEDPEOPLE;CRISISLEX_T02_INJURED;CORRUPTION;WB_2019_ANTI_CORRUPTION_LEGISLATION;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_831_GOVERNANCE;WB_832_ANTI_CORRUPTION;WB_2020_BRIBERY_FRAUD_AND_COLLUSION;,nasdaq inc,"CORRUPTION,ECON_IPO,KILL,MANMADE_DISASTER_IMPLIED,TAX_ETHNICITY,TRIAL"
10,111,20230131234500,https://www.heraldnet.com/news/charges-dropped-for-lake-stevens-teacher-accused-of-harassing-student/,-2.95566502463054,TAX_FNCACT;TAX_FNCACT_PROSECUTORS;EDUCATION;MANMADE_DISASTER_IMPLIED;TAX_FNCACT_TEACHER;,twitter inc,"EDUCATION,MANMADE_DISASTER_IMPLIED"
11,116,20230131234500,https://www.cbc.ca/radio/asithappens/woke-breakfast-backlash-1.6732407,-1.85728250244379,TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;ARMEDCONFLICT;EPU_CATS_NATIONAL_SECURITY;MEDIA_SOCIAL;CRISISLEX_T11_UPDATESSYMPATHY;EPU_ECONOMY_HISTORIC;TAX_ETHNICITY_BLACK;UNGP_FREEDOM_FROM_DISCRIMINATION;UNGP_CRIME_VIOLENCE;DISCRIMINATION;DISCRIMINATION_RACE;DISCRIMINATION_RACE_RACISM;PROTEST;TAX_FNCACT;TAX_FNCACT_MUSICIAN;TRIAL;RAPE;TAX_FNCACT_WOMEN;SECURITY_SERVICES;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;KILL;MOVEMENT_GENERAL;TAX_FNCACT_ACTIVISTS;TAX_FNCACT_ARTISTS;TAX_POLITICAL_PARTY;TAX_POLITICAL_PARTY_REPUBLICANS;USPEC_POLITICS_GENERAL1;EXTREMISM;LEGISLATION;EPU_POLICY;EPU_POLICY_LAW;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOLS;TAX_POLITICAL_PARTY_REPUBLICAN;LEADER;TAX_FNCACT_GOVERNOR;IDEOLOGY;CRISISLEX_T03_DEAD;TAX_ECON_PRICE;AFFECT;TAX_FNCACT_MODERATORS;TAX_ETHNICITY_FRENCH;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_FRENCH;EPU_POLICY_POLITICAL;ECON_ENTREPRENEURSHIP;ECON_BOYCOTT;EPU_CATS_MIGRATION_FEAR_FEAR;TAX_FNCACT_SUPPORTERS;UNGP_FORESTS_RIVERS_OCEANS;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;WB_652_ICT_APPLICATIONS;WB_662_SOCIAL_MEDIA;WB_658_ENTERPRISE_APPLICATIONS;,facebook inc,"ARMEDCONFLICT,DISCRIMINATION,ECON_BOYCOTT,ECON_ENTREPRENEURSHIP,EDUCATION,EXTREMISM,KILL,LEGISLATION,MOVEMENT_GENERAL,PROTEST,RAPE,SECURITY_SERVICES,TAX_ETHNICITY,TRIAL"
