,DATE,DocumentIdentifier,V2Tone,Themes,Organizations,FinalThemes
8,20230406170000,https://www.newsweek.com/russia-state-tv-warns-about-new-nato-members-serious-military-force-1793052,-1.62822252374491,TAX_ETHNICITY;TAX_ETHNICITY_RUSSIAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_RUSSIAN;LEADER;TAX_FNCACT;TAX_FNCACT_PRESIDENT;USPEC_POLITICS_GENERAL1;ARMEDCONFLICT;EPU_CATS_NATIONAL_SECURITY;ALLIANCE;TAX_WORLDLANGUAGES_RUSSIA;TAX_WORLDLANGUAGES_FINNISH;WMD;UNREST_BELLIGERENT;TAX_ETHNICITY_AMERICAN;MEDIA_MSM;EPU_POLICY;EPU_POLICY_POLITICAL;CRISISLEX_C07_SAFETY;MILITARY;MEDIA_SOCIAL;TAX_FNCACT_JOURNALIST;TAX_FNCACT_ANALYSTS;TAX_FNCACT_LEADER;TAX_FNCACT_DEPUTY;TAX_FNCACT_MINISTER;UNGP_FORESTS_RIVERS_OCEANS;TAX_FNCACT_OFFICIALS;TAX_FNCACT_CITIZENS;,['twitter inc'],"TAX_ETHNICITY,ARMEDCONFLICT,ALLIANCE,WMD,MILITARY"
9,20230406170000,https://www.timminspress.com:443/news/local-news/sudbury-police-lay-15-fraud-related-counts-against-local-businessman,3.31491712707182,CORRUPTION;WB_2019_ANTI_CORRUPTION_LEGISLATION;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_831_GOVERNANCE;WB_832_ANTI_CORRUPTION;WB_2020_BRIBERY_FRAUD_AND_COLLUSION;SOC_GENERALCRIME;EPU_CATS_MIGRATION_FEAR_FEAR;WB_2073_ILLICIT_FINANCIAL_FLOWS;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT;WB_2074_PROCEEDS_OF_CRIME;WB_328_FINANCIAL_INTEGRITY;SECURITY_SERVICES;TAX_FNCACT;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;EPU_ECONOMY_HISTORIC;WB_507_ENERGY_AND_EXTRACTIVES;WB_895_MINING_SYSTEMS;WB_2935_NICKEL;WB_1699_METAL_ORE_MINING;UNGP_FORESTS_RIVERS_OCEANS;,['twitter inc'],"CORRUPTION,SOC_GENERALCRIME,SECURITY_SERVICES"
15,20230406170000,https://www.rock94.com/artist/the-doobie-brothers/,0.0,TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;WB_2670_JOBS;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_2048_COMPENSATION_CAREERS_AND_INCENTIVES;WB_723_PUBLIC_ADMINISTRATION;WB_724_HUMAN_RESOURCES_FOR_PUBLIC_SECTOR;USPEC_UNCERTAINTY1;,"[""mcdonald's corp""]",TAX_ETHNICITY
17,20230406170000,https://www.tribtoday.com/news/latest-news/2023/04/thu-1001-a-m-applications-for-jobless-aid-rising-but-still-at-low-levels/,-2.13414634146341,TAX_ETHNICITY;TAX_ETHNICITY_AMERICANS;UNEMPLOYMENT;WB_2745_JOB_QUALITY_AND_LABOR_MARKET_PERFORMANCE;WB_2670_JOBS;WB_2689_JOBS_DIAGNOSTICS;WB_2747_UNEMPLOYMENT;UNGP_JOB_OPPORTUNITIES_EMPLOYMENT;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;USPEC_POLICY1;EPU_ECONOMY;EPU_ECONOMY_HISTORIC;ECON_INTEREST_RATES;EPU_POLICY_INTEREST_RATES;EPU_CATS_MONETARY_POLICY;WB_1649_UNEMPLOYMENT_BENEFITS;WB_752_CONTRIBUTORY_BENEFITS;WB_751_SOCIAL_INSURANCE;WB_697_SOCIAL_PROTECTION_AND_LABOR;EPU_CATS_ENTITLEMENT_PROGRAMS;UNGP_SUPPORT_FOR_PEOPLE_WHO_CANT_WORK;WB_855_LABOR_MARKETS;SOC_TECHNOLOGYSECTOR;GENERAL_HEALTH;HEALTH_PANDEMIC;WB_635_PUBLIC_HEALTH;WB_2165_HEALTH_EMERGENCIES;WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_2167_PANDEMICS;UNGP_HEALTHCARE;MEDIA_SOCIAL;TAX_FNCACT;TAX_FNCACT_ECONOMIST;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT;WB_332_CAPITAL_MARKETS;CRISISLEX_CRISISLEXREC;,"['ibm', 'microsoft corp', 'facebook inc', 'twitter inc']","TAX_ETHNICITY,UNEMPLOYMENT,GENERAL_GOVERNMENT,ECON_INTEREST_RATES,GENERAL_HEALTH,HEALTH_PANDEMIC"
21,20230406170000,https://www.thehindubusinessline.com/info-tech/production-of-made-in-india-laptops-phones-hit-as-payments-platform-crashes/article66707313.ece,-1.86915887850467,WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_346_COMPETITIVE_INDUSTRIES;WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS;WB_1281_MANUFACTURING;USPEC_POLICY1;EPU_CATS_TAXES;WB_135_TRANSPORT;WB_1803_TRANSPORT_INFRASTRUCTURE;WB_167_PORTS;AFFECT;WB_350_FINANCIAL_INFRASTRUCTURE_AND_REMITTANCES;WB_353_PAYMENT_SYSTEMS;WB_351_PAYMENT_AND_MARKET_INFRASTRUCTURE;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT;WB_698_TRADE;TAX_FNCACT;TAX_FNCACT_TRADERS;TAX_ETHNICITY;TAX_ETHNICITY_INDIAN;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_2495_DETENTION_PRISON_AND_CORRECTIONS_REFORM;WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_1014_CRIMINAL_JUSTICE;WB_2490_NATIONAL_PROTECTION_AND_SECURITY;TAX_FNCACT_COMMISSIONERS;EPU_ECONOMY_HISTORIC;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;TAX_FNCACT_DIRECTOR;,"['facebook inc', 'twitter inc']","TAX_ETHNICITY,GENERAL_GOVERNMENT"
26,20230406170000,https://www.wvnews.com/mineralnews/news/wvnews/amidst-market-uncertainty-west-virginia-banks-remain-stable/article_6adb1eb0-d490-11ed-b96f-7b54ed210b46.html,-1.8970189701897,AFFECT;ECON_BANKRUPTCY;WB_1973_FINANCIAL_RISK_REDUCTION;WB_435_AGRICULTURE_AND_FOOD_SECURITY;WB_337_INSURANCE;WB_1967_AGRICULTURAL_RISK_AND_SECURITY;WB_322_DEPOSIT_INSURANCE;WB_318_FINANCIAL_ARCHITECTURE_AND_BANKING;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT;EPU_CATS_REGULATION;EPU_CATS_FINANCIAL_REGULATION;WB_350_FINANCIAL_INFRASTRUCTURE_AND_REMITTANCES;WB_1277_BANKRUPTCY_AND_LIQUIDATION;WB_411_DEBT_RESOLUTION;EPU_ECONOMY_HISTORIC;EDUCATION;TAX_FNCACT;TAX_FNCACT_PROFESSOR;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITY;ECON_INTEREST_RATES;EPU_POLICY;EPU_POLICY_INTEREST_RATES;EPU_CATS_MONETARY_POLICY;CRISISLEX_CRISISLEXREC;ECON_ENTREPRENEURSHIP;WB_1150_VOLATILITY;WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT;EPU_CATS_MIGRATION_FEAR_FEAR;TAX_FNCACT_LEADERS;TAX_FNCACT_TREASURER;WB_2142_LOCAL_GOVERNMENT;WB_1502_EDUCATIONAL_DECENTRALIZATION;WB_470_EDUCATION;WB_1497_EDUCATION_MANAGEMENT_AND_ADMINISTRATION;WB_1234_BANKING_INSTITUTIONS;CRISISLEX_T11_UPDATESSYMPATHY;UNGP_FORESTS_RIVERS_OCEANS;ECON_BITCOIN;GENERAL_GOVERNMENT;EPU_POLICY_GOVERNMENT;TAX_FNCACT_OFFICIAL;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;,"['wells fargo & co', 'citibank argentina']","ECON_BANKRUPTCY,EDUCATION,ECON_INTEREST_RATES,ECON_ENTREPRENEURSHIP,GENERAL_GOVERNMENT"
43,20230406170000,https://kelo.com/2023/04/06/toyota-looks-to-overhaul-ev-strategy-as-new-ceo-takes-charge/,-0.115340253748558,TAX_FNCACT;TAX_FNCACT_CEO;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_346_COMPETITIVE_INDUSTRIES;WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS;WB_1281_MANUFACTURING;TAX_ECON_PRICE;EPU_ECONOMY_HISTORIC;CRISISLEX_O01_WEATHER;TAX_FNCACT_CHIEF;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;DELAY;USPEC_UNCERTAINTY1;CRISISLEX_C04_LOGISTICS_TRANSPORT;TAX_FNCACT_FOUNDER;TAX_FNCACT_CHAIRMAN;TAX_FNCACT_ANALYST;UNGP_FORESTS_RIVERS_OCEANS;WB_678_DIGITAL_GOVERNMENT;WB_2943_SWITCHES;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;TAX_FNCACT_DIRECTOR;WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION;WB_1462_WATER_SANITATION_AND_HYGIENE;WB_635_PUBLIC_HEALTH;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_135_TRANSPORT;EPU_CATS_MIGRATION_FEAR_FEAR;TAX_FNCACT_EXECUTIVE;,['tesla inc'],DELAY
50,20230406170000,https://carsonnow.org/?page=1&form_build_id=form-ZH9xJoiP297ksD1N4x7ejIYH_0BG_DKT157qTlm8eGk&form_id=search_theme_form&op=Search,1.49122807017544,TAX_FNCACT;TAX_FNCACT_SHERIFF;CRISISLEX_C07_SAFETY;CRIME_COMMON_ROBBERY;GENERAL_HEALTH;WB_168_ROADS_AND_HIGHWAYS;WB_135_TRANSPORT;WB_1809_HIGHWAYS;WB_1803_TRANSPORT_INFRASTRUCTURE;NATURAL_DISASTER;NATURAL_DISASTER_STORM_SYSTEM;MEDICAL;WB_1973_FINANCIAL_RISK_REDUCTION;WB_435_AGRICULTURE_AND_FOOD_SECURITY;WB_337_INSURANCE;WB_1967_AGRICULTURAL_RISK_AND_SECURITY;WB_635_PUBLIC_HEALTH;WB_621_HEALTH_NUTRITION_AND_POPULATION;CRISISLEX_CRISISLEXREC;WB_2165_HEALTH_EMERGENCIES;HEALTH_PANDEMIC;TAX_DISEASE;TAX_DISEASE_COVID-19;WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE;WB_2167_PANDEMICS;UNGP_HEALTHCARE;WB_1291_PUBLIC_HEALTH_INSURANCE;WB_625_HEALTH_ECONOMICS_AND_FINANCE;WB_1287_HEALTH_INSURANCE;EPU_CATS_HEALTHCARE;EPU_CATS_ENTITLEMENT_PROGRAMS;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_405_BUSINESS_CLIMATE;WB_2531_INSPECTIONS_LICENSING_AND_PERMITS;WB_2530_BUSINESS_ENVIRONMENT;TRIAL;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_AIRPORT;WB_1804_AIRPORTS;TAX_ETHNICITY;TAX_ETHNICITY_BLACK;EPU_ECONOMY_HISTORIC;RECRUITMENT;TAX_FNCACT_VETERANS;TAX_FNCACT_VOLUNTEER;PROTEST;TAX_FNCACT_DIRECTOR;TAX_FNCACT_SPECIALIST;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_BEARS;URBAN;TAX_WORLDMAMMALS_BEAR;TAX_WORLDMAMMALS_HUMAN;APPOINTMENT;TAX_FNCACT_DEPUTY;TAX_FNCACT_CORONER;TAX_FNCACT_SUPERVISORS;TAX_WORLDMAMMALS_HORSE;TAX_FNCACT_CHILDREN;TAX_FNCACT_POET;NATURAL_DISASTER_WINTER_STORM;WB_644_NUTRITION;WB_1441_SUPPLEMENTS;SOC_POINTSOFINTEREST_HOSPITAL;CRISISLEX_C03_WELLBEING_HEALTH;NATURAL_DISASTER_HEAVY_SNOW;TAX_FOODSTAPLES;TAX_FOODSTAPLES_EGGS;TAX_FNCACT_HISTORIAN;WB_137_WATER;TAX_DISEASE_ANTICIPATION;WB_427_WATER_ALLOCATION_AND_WATER_ECONOMICS;WB_1064_WATER_DEMAND_MANAGEMENT;WATER_SECURITY;UNGP_CLEAN_WATER_SANITATION;TAX_DISEASE_FLUSHING;TAX_FNCACT_LADY;MEDIA_MSM;USPEC_POLITICS_GENERAL1;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_LOMBARDO;TAX_FNCACT_EMPLOYEES;UNGP_CRIME_VIOLENCE;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICERS;TAX_FNCACT_OFFICERS;WB_2142_LOCAL_GOVERNMENT;WB_1502_EDUCATIONAL_DECENTRALIZATION;WB_470_EDUCATION;WB_1497_EDUCATION_MANAGEMENT_AND_ADMINISTRATION;TAX_FNCACT_STUDENTS;TAX_RELIGION;TAX_RELIGION_LUTHERAN;EDUCATION;SOC_POINTSOFINTEREST_SCHOOL;TAX_WORLDINSECTS;TAX_WORLDINSECTS_BEE;TAX_FNCACT_BISHOP;SOC_POINTSOFINTEREST_HIGH_SCHOOL;TAX_FNCACT_WOMEN;SOC_GENERALCRIME;WB_166_RAILWAYS;WB_2141_EDUCATION_DISTRICTS;DISASTER_FIRE;TAX_WORLDLANGUAGES_SHOSHONE;TAX_ETHNICITY_WASHOE;TAX_WORLDLANGUAGES_WASHOE;UNGP_FORESTS_RIVERS_OCEANS;,['disney parks  experiences and products'],"CRIME_COMMON_ROBBERY,GENERAL_HEALTH,NATURAL_DISASTER,MEDICAL,HEALTH_PANDEMIC,TAX_DISEASE,TRIAL,TAX_ETHNICITY,PROTEST,URBAN,TAX_FOODSTAPLES,WATER_SECURITY,EDUCATION,SOC_GENERALCRIME"
56,20230406170000,https://www.thehindubusinessline.com/markets/commodities/govt-approves-kirit-parikh-panel-recommendations-on-natural-gas-pricing/article66707578.ece,1.32978723404255,USPEC_POLITICS_GENERAL1;EPU_ECONOMY;EPU_ECONOMY_HISTORIC;ENV_NATURALGAS;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_405_BUSINESS_CLIMATE;WB_2531_INSPECTIONS_LICENSING_AND_PERMITS;WB_2530_BUSINESS_ENVIRONMENT;USPEC_POLICY1;EPU_POLICY;EPU_POLICY_POLICY;GENERAL_GOVERNMENT;EPU_POLICY_GOVERNMENT;TAX_ECON_PRICE;TAX_ETHNICITY;TAX_ETHNICITY_INDIAN;ENV_OIL;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_2048_COMPENSATION_CAREERS_AND_INCENTIVES;WB_723_PUBLIC_ADMINISTRATION;WB_724_HUMAN_RESOURCES_FOR_PUBLIC_SECTOR;ECON_OILPRICE;WB_135_TRANSPORT;WB_175_FERTILIZERS;WB_174_CROP_PRODUCTION;WB_435_AGRICULTURE_AND_FOOD_SECURITY;WB_1949_CLIMATE_SMART_AGRICULTURE;WB_1948_SUBSIDIES;WB_695_POVERTY;WB_706_EVIDENCE_BASED_POLICY;FUELPRICES;EPU_POLICY_REFORM;ENV_CLIMATECHANGE;UNGP_CLIMATE_CHANGE_ACTION;,"['twitter inc', 'facebook inc']","ENV_NATURALGAS,GENERAL_GOVERNMENT,TAX_ETHNICITY,ENV_OIL,FUELPRICES,ENV_CLIMATECHANGE"
61,20230406170000,https://www.denbighshirefreepress.co.uk/news/23440622.gallery-dfp-camera-club-members-get-grips-april/,2.4390243902439,MEDIA_SOCIAL;MEDIA_CENSORSHIP;UNGP_POLITICAL_FREEDOMS;,['facebook inc'],MEDIA_CENSORSHIP
